fid,GEOID,COUNTYFP,NAMELSAD,median_hh_,median_h_1,CDTFA_COPR,CDTFA_CITY,CDTFA_COUN,CENSUS_PLA,CENSUS_GEO,CENSUS_P_1,GNIS_PLACE,GNIS_ID,acs_2024_tracts_berkeley_oakland_sf_density_city,acs_2024_tracts_berkeley_oakland_sf_density_NAME,acs_2024_tracts_berkeley_oakland_sf_density_year,acs_2024_tracts_berkeley_oakland_sf_density_total_pop,acs_2024_tracts_berkeley_oakland_sf_density_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_poc,acs_2024_tracts_berkeley_oakland_sf_density_median_income,acs_2024_tracts_berkeley_oakland_sf_density_median_home_value,acs_2024_tracts_berkeley_oakland_sf_density_housing_units_total,acs_2024_tracts_berkeley_oakland_sf_density_owner_occupied,acs_2024_tracts_berkeley_oakland_sf_density_renter_occupied,acs_2024_tracts_berkeley_oakland_sf_density_homeownership_rate,acs_2024_tracts_berkeley_oakland_sf_density_area_sq_miles,acs_2024_tracts_berkeley_oakland_sf_density_pop_density,weight_supply_sum,Accessibility_Index
1109,"06075010102","075",Census Tract 101.02,,,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 101.02; San Francisco County; California","2024","1917","617","385","770","112","0.3218570683359416","0.20083463745435576","0.4016692749087115","0.058424621804903494","0.6781429316640584","102826","1300000","930","264","666","0.2838709677419355","0.0307738158287547","62293.217411432524",,
1108,"06075010101","075",Census Tract 101.01,83816.000000000000000,37733.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 101.01; San Francisco County; California","2024","1911","717","113","561","373","0.3751962323390895","0.05913134484563056","0.29356357927786497","0.19518576661433804","0.6248037676609105","89022","1531300","1216","101","1115","0.08305921052631579","0.19174731129120648","9966.241441048245",,
1189,"06075020402","075",Census Tract 204.02,152138.000000000000000,33034.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 204.02; San Francisco County; California","2024","4061","2277","86","748","715","0.5606993351391283","0.02117704998768776","0.1841910859394238","0.17606500861856686","0.4393006648608717","152097","1215200","2442","816","1626","0.33415233415233414","0.23400986145601202","17353.96950680801",,
1245,"06075012901","075",Census Tract 129.01,220096.000000000000000,46949.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 129.01; San Francisco County; California","2024","2830","1882","3","464","320","0.665017667844523","0.0010600706713780918","0.16395759717314487","0.11307420494699646","0.334982332155477","219125","1641100","1459","306","1153","0.20973269362577107","0.06976273880392371","40566.067911325044",,
1325,"06075031100","075",Census Tract 311,188591.000000000000000,36737.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 311; San Francisco County; California","2024","6073","2354","195","2295","874","0.38761732257533343","0.032109336407047585","0.37790219002140624","0.14391569240902355","0.6123826774246666","200545","1521100","2372","1432","940","0.6037099494097807","0.41510717818144294","14629.95659724655",,
1368,"06075021700","075",Census Tract 217,141250.000000000000000,43288.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 217; San Francisco County; California","2024","4432","2048","355","818","549","0.4620938628158845","0.08009927797833935","0.18456678700361012","0.12387184115523465","0.5379061371841155","133300","1632700","1802","1239","563","0.6875693673695893","0.4756329229645343","9318.110219065877",,
473,"06075026001","075",Census Tract 260.01,114563.000000000000000,21784.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 260.01; San Francisco County; California","2024","5625","802","55","2585","1955","0.14257777777777778","0.009777777777777778","0.45955555555555555","0.34755555555555556","0.8574222222222222","120650","1178700","1754","906","848","0.5165336374002281","0.15680512443761338","35872.55212592218",,
691,"06075026002","075",Census Tract 260.02,136324.000000000000000,37319.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 260.02; San Francisco County; California","2024","3641","986","146","1194","1094","0.2708047239769294","0.040098873935731943","0.32793188684427355","0.30046690469651194","0.7291952760230707","127768","1151400","1069","798","271","0.7464920486435921","0.1375753026695591","26465.50601269826",,
1114,"06075025501","075",Census Tract 255.01,150438.000000000000000,30933.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 255.01; San Francisco County; California","2024","4235","476","78","1498","1744","0.11239669421487604","0.018417945690672965","0.3537190082644628","0.41180637544273907","0.8876033057851239","113920","1301000","1028","752","276","0.7315175097276264","0.20486018290566604","20672.63603855187",,
688,"06075025600","075",Census Tract 256,115739.000000000000000,33192.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 256; San Francisco County; California","2024","5419","839","116","2811","1470","0.15482561358184166","0.021406163498800517","0.5187303930614504","0.27126776157962723","0.8451743864181583","144100","1038100","1610","1110","500","0.6894409937888198","0.2216549281639874","24447.911196410892",,
1118,"06075025502","075",Census Tract 255.02,161400.000000000000000,41829.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 255.02; San Francisco County; California","2024","3739","832","58","1314","1253","0.22251939021128644","0.01551216902915218","0.35143086386734423","0.33511634126771866","0.7774806097887136","180341","1203000","1201","818","383","0.6810990840965861","0.2094430037484997","17852.11218843009",,
444,"06075025403","075",Census Tract 254.03,166935.000000000000000,45014.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 254.03; San Francisco County; California","2024","4410","1079","246","1242","1596","0.24467120181405896","0.055782312925170066","0.2816326530612245","0.3619047619047619","0.755328798185941","147083","1550800","1325","762","563","0.5750943396226416","0.19565663336706365","22539.486262786573",,
492,"06075025401","075",Census Tract 254.01,165278.000000000000000,61536.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 254.01; San Francisco County; California","2024","3567","1529","137","296","743","0.42865152789458927","0.0384076254555649","0.08298289879450518","0.2082982898794505","0.5713484721054107","204844","1487900","1329","762","567","0.5733634311512416","0.14986556116055597","23801.33215648226",,
686,"06075025300","075",Census Tract 253,168720.000000000000000,19595.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 253; San Francisco County; California","2024","4302","2018","55","378","1495","0.4690841469084147","0.012784751278475127","0.08786610878661087","0.3475127847512785","0.5309158530915853","181578","1523400","1753","889","864","0.5071306332002282","0.15355892122219933","28015.304912014966",,
1143,"06075020701","075",Census Tract 207.01,246500.000000000000000,59332.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 207.01; San Francisco County; California","2024","3357","1924","146","524","404","0.5731307715221924","0.043491212392016684","0.15609174858504618","0.12034554661900507","0.4268692284778076","223707","1581300","1514","466","1048","0.30779392338177014","0.08052035742404234","41691.32015051939",,
1098,"06075020801","075",Census Tract 208.01,101696.000000000000000,23574.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 208.01; San Francisco County; California","2024","3767","1046","154","408","1789","0.27767454207592246","0.040881337934696046","0.1083089992036103","0.4749137244491638","0.7223254579240775","133953","1125000","1418","318","1100","0.22425952045133993","0.08019964128426028","46970.28490000614",,
693,"06075020500","075",Census Tract 205,250001.000000000000000,,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 205; San Francisco County; California","2024","2789","1940","59","338","223","0.6955898171387594","0.021154535675869487","0.12119039082108282","0.07995697382574399","0.30441018286124055","250001","1934100","1246","583","663","0.4678972712680578","0.10954731607739328","25459.318401097295",,
58,"06075020602","075",Census Tract 206.02,196417.000000000000000,72402.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 206.02; San Francisco County; California","2024","2379","1658","68","237","175","0.6969314838167298","0.028583438419503993","0.09962168978562422","0.0735603194619588","0.30306851618327024","207958","1584800","1317","633","684","0.4806378132118451","0.09506700709214484","25024.45456912434",,
1100,"06075020702","075",Census Tract 207.02,144048.000000000000000,28675.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 207.02; San Francisco County; California","2024","1995","1233","25","349","340","0.6180451127819548","0.012531328320802004","0.174937343358396","0.17042606516290726","0.38195488721804516","160179","1697200","1121","245","876","0.21855486173059768","0.05355236034908666","37253.25993094205",,
